opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0278,NORAM,Public Sector,Company 278 - DevOps & Automation,Explore,Owner 66,4,Q3 FY26,AI/ML Enablement,41767,POC run,2026-04-07,2026-05-07,2026-05-19,,97,,Company 278,Parent Account 117,VP Eng,,Yes,,,Exec mandate,References match,Competitor C,Consulting Co,Faster release
OPP-FY26-0279,EMEA,Public Sector,Company 279 - DevOps & Automation,Prove,Owner 163,4,Q1 FY26,DevOps & Automation,62434,POC run,2025-10-19,2025-11-17,,2025-12-02,275,,Company 279,Parent Account 15,Infra Lead,No,Yes,No,Fragmented tools,,References match,Competitor B,GSII,Reduce Ops
OPP-FY26-0280,GP&A,Strategic Accounts,Company 280 - DevOps & Automation,Commit,Owner 21,1,Q1 FY26,Customer 360 View,47515,Deep dive,2025-10-04,2025-10-14,,,,,Company 280,,,No,No,No,Reg risk,,Strong roadmap,Competitor C,Partner Y,Faster release
OPP-FY26-0281,APAC,Strategic Accounts,Company 281 - Customer 360 View,Prove,Owner 168,0,Q1 FY26,Data Platform Modernization,64094,,2025-11-13,,,,,,Company 281,,,Yes,Yes,Yes,,Renewal soon,,Internal Build,Consulting Co,Visibility
OPP-FY26-0282,EMEA,Enterprise,Company 282 - Data Platform Modernization,Explore,Owner 150,1,Q1 FY26,Security & Compliance,89078,Deep dive,2025-10-21,2025-11-11,,,,,Company 282,Parent Account 173,,Yes,Yes,,Fragmented tools,Exec mandate,References match,Status Quo,Consulting Co,Security posture
OPP-FY26-0283,EMEA,SMB,Company 283 - Analytics & Reporting,Explore,Owner 1,2,Q1 FY26,AI/ML Enablement,155066,Procurement alignment,2025-12-20,2026-01-07,2026-02-02,,,,Company 283,,Director IT,,Yes,No,Legacy expensive,M&A drive,,Competitor C,Partner X,Security posture
OPP-FY26-0284,APAC,SMB,Company 284 - AI/ML Enablement,Prove,Owner 169,2,Q2 FY26,Analytics & Reporting,28490,Procurement alignment,2026-03-23,2026-04-23,2026-05-10,,,,Company 284,Parent Account 26,Infra Lead,Yes,,Yes,,M&A drive,References match,Competitor B,Partner Y,
OPP-FY26-0285,APAC,Mid-Market,Company 285 - Data Platform Modernization,Prove,Owner 197,0,Q1 FY26,Data Platform Modernization,215306,Procurement alignment,2025-10-28,,,,,,Company 285,Parent Account 66,Infra Lead,Yes,,No,Fragmented tools,M&A drive,References match,Status Quo,Consulting Co,
OPP-FY26-0286,EMEA,Public Sector,Company 286 - Security & Compliance,Commit,Owner 30,0,Q1 FY26,Customer 360 View,18559,,2025-12-14,,,,,,Company 286,Parent Account 81,Director IT,Yes,Yes,No,Does not scale,Budget expires FY,,Competitor A,None,Faster release
OPP-FY26-0287,NORAM,Enterprise,Company 287 - Customer 360 View,Prove,Owner 80,2,Q3 FY26,Customer 360 View,54662,Proposal review,2026-05-03,2026-05-20,2026-06-23,,,,Company 287,,CIO,No,Yes,,,Budget expires FY,Best fit,Competitor A,Partner Y,Faster release
OPP-FY26-0288,GP&A,Strategic Accounts,Company 288 - Data Platform Modernization,Prove,Owner 101,2,Q3 FY26,Cloud Cost Optimization,85219,Exec sponsor confirm,2026-04-27,2026-06-11,2026-06-24,,,,Company 288,Parent Account 73,VP Eng,Yes,,No,Fragmented tools,Exec mandate,Best fit,Internal Build,Consulting Co,Security posture
OPP-FY26-0289,EMEA,Public Sector,Company 289 - Cloud Cost Optimization,Commit,Owner 38,1,Q1 FY26,AI/ML Enablement,70869,Implementation plan,2025-11-25,2025-12-10,,,,,Company 289,,Director IT,Yes,Yes,,,Exec mandate,Best fit,Internal Build,Partner Y,
OPP-FY26-0290,APAC,Strategic Accounts,Company 290 - Analytics & Reporting,Commit,Owner 98,3,Q2 FY26,Data Platform Modernization,41207,Implementation plan,2026-02-03,2026-02-25,2026-04-07,2026-04-21,,,Company 290,Parent Account 114,,,No,,,Renewal soon,Best fit,Internal Build,GSII,
OPP-FY26-0291,APAC,Strategic Accounts,Company 291 - Customer 360 View,Commit,Owner 136,0,Q3 FY26,AI/ML Enablement,52845,,2026-04-01,,,,,,Company 291,Parent Account 150,Head of Data,Yes,Yes,,,M&A drive,,Status Quo,Partner Y,
OPP-FY26-0292,LAC,Mid-Market,Company 292 - AI/ML Enablement,Commit,Owner 1,2,Q3 FY26,Security & Compliance,44542,Exec sponsor confirm,2026-05-06,2026-05-11,2026-05-19,,,,Company 292,Parent Account 133,Cloud Arch,,No,No,Legacy expensive,,,Competitor B,Partner Y,Reduce Ops
OPP-FY26-0293,NORAM,Strategic Accounts,Company 293 - AI/ML Enablement,Explore,Owner 66,2,Q1 FY26,DevOps & Automation,42040,POC run,2025-11-02,,2026-01-13,,,,Company 293,Parent Account 178,CTO,Yes,No,Yes,Legacy expensive,,References match,Status Quo,Partner Y,
OPP-FY26-0294,NORAM,SMB,Company 294 - Cloud Cost Optimization,Explore,Owner 97,4,Q1 FY26,Security & Compliance,99684,,2025-10-29,2025-12-06,2026-01-04,2026-01-11,238,,Company 294,Parent Account 27,Cloud Arch,Yes,No,,Does not scale,Exec mandate,Low TCO,Competitor B,GSII,
OPP-FY26-0295,NORAM,Strategic Accounts,Company 295 - Customer 360 View,Commit,Owner 69,4,Q2 FY26,Cloud Cost Optimization,74176,Proposal review,2026-02-19,,,2026-06-01,81,,Company 295,,Infra Lead,Yes,No,Yes,Does not scale,,References match,Competitor B,GSII,Visibility
OPP-FY26-0296,APAC,Enterprise,Company 296 - DevOps & Automation,Prove,Owner 142,3,Q3 FY26,AI/ML Enablement,39507,,2026-04-16,,2026-05-17,2026-06-29,,,Company 296,,CIO,No,Yes,Yes,Legacy expensive,Renewal soon,,Status Quo,None,Visibility
OPP-FY26-0297,EMEA,Mid-Market,Company 297 - Customer 360 View,Prove,Owner 14,1,Q2 FY26,AI/ML Enablement,102719,,2026-03-22,2026-04-27,,,,,Company 297,Parent Account 44,VP Eng,No,Yes,,,,,Competitor C,None,Visibility
OPP-FY26-0298,NORAM,Strategic Accounts,Company 298 - Data Platform Modernization,Explore,Owner 26,4,Q3 FY26,AI/ML Enablement,71996,Deep dive,2026-05-06,2026-06-09,2026-06-15,2026-07-10,79,,Company 298,Parent Account 22,Head of Data,Yes,,,Reg risk,Exec mandate,Best fit,Competitor C,Partner X,Faster release
OPP-FY26-0299,NORAM,SMB,Company 299 - Cloud Cost Optimization,Explore,Owner 102,3,Q1 FY26,AI/ML Enablement,97510,,2025-11-11,,2025-12-17,2026-01-16,,,Company 299,,,Yes,,No,,M&A drive,,Competitor A,Partner X,
OPP-FY26-0300,APAC,Strategic Accounts,Company 300 - Security & Compliance,Commit,Owner 40,4,Q1 FY26,DevOps & Automation,87358,POC run,2025-10-04,2025-10-22,2025-10-28,2025-11-21,283,,Company 300,Parent Account 64,VP Eng,No,Yes,,Fragmented tools,,,Competitor B,Consulting Co,
OPP-FY26-0301,NORAM,Enterprise,Company 301 - Analytics & Reporting,Explore,Owner 98,1,Q3 FY26,AI/ML Enablement,36410,,2026-05-26,2026-06-07,,,,,Company 301,Parent Account 180,Infra Lead,Yes,,No,,,Strong roadmap,Competitor B,GSII,
OPP-FY26-0302,NORAM,SMB,Company 302 - AI/ML Enablement,Prove,Owner 156,0,Q1 FY26,Cloud Cost Optimization,42782,Implementation plan,2025-10-14,,,,,,Company 302,Parent Account 65,Director IT,,Yes,Yes,Does not scale,,,Internal Build,Partner X,
OPP-FY26-0303,EMEA,Strategic Accounts,Company 303 - Analytics & Reporting,Explore,Owner 137,4,Q1 FY26,DevOps & Automation,93748,Exec sponsor confirm,2025-10-31,,2025-12-15,,230,,Company 303,Parent Account 33,CTO,No,No,No,Fragmented tools,Renewal soon,,Competitor C,Partner Y,
OPP-FY26-0304,GP&A,Strategic Accounts,Company 304 - Customer 360 View,Prove,Owner 53,4,Q1 FY26,Security & Compliance,86355,Exec sponsor confirm,2025-10-16,2025-10-31,2025-11-28,,235,,Company 304,Parent Account 147,CTO,Yes,No,No,,Exec mandate,,Status Quo,Partner Y,
OPP-FY26-0305,APAC,Mid-Market,Company 305 - Analytics & Reporting,Explore,Owner 137,1,Q3 FY26,Cloud Cost Optimization,59127,Proposal review,2026-05-30,2026-06-19,,,,,Company 305,Parent Account 89,Infra Lead,No,No,No,,Renewal soon,Low TCO,Competitor B,GSII,
OPP-FY26-0306,LAC,Enterprise,Company 306 - DevOps & Automation,Commit,Owner 177,0,Q2 FY26,AI/ML Enablement,64240,Implementation plan,2026-02-15,,,,,,Company 306,,VP Eng,Yes,,Yes,,Budget expires FY,References match,Internal Build,Partner X,
OPP-FY26-0307,NORAM,SMB,Company 307 - Cloud Cost Optimization,Prove,Owner 42,1,Q3 FY26,Security & Compliance,128875,Proposal review,2026-04-27,2026-05-11,,,,,Company 307,,Infra Lead,,,,Legacy expensive,Renewal soon,References match,Competitor A,Partner X,
OPP-FY26-0308,LAC,Enterprise,Company 308 - Analytics & Reporting,Explore,Owner 28,0,Q1 FY26,Customer 360 View,41984,Proposal review,2025-12-08,,,,,,Company 308,,VP Eng,,No,No,,,Strong roadmap,Competitor A,Partner X,
OPP-FY26-0309,GP&A,Strategic Accounts,Company 309 - Security & Compliance,Prove,Owner 168,2,Q1 FY26,Data Platform Modernization,83138,,2025-10-27,,2025-12-30,,,,Company 309,Parent Account 176,Director IT,Yes,,No,,Renewal soon,,Status Quo,GSII,Reduce Ops
OPP-FY26-0310,EMEA,SMB,Company 310 - Cloud Cost Optimization,Prove,Owner 128,1,Q3 FY26,DevOps & Automation,53033,Implementation plan,2026-05-17,2026-07-01,,,,,Company 310,Parent Account 68,Cloud Arch,Yes,Yes,Yes,Reg risk,M&A drive,Low TCO,Competitor C,Partner Y,Visibility
OPP-FY26-0311,GP&A,Strategic Accounts,Company 311 - DevOps & Automation,Prove,Owner 155,1,Q1 FY26,Analytics & Reporting,52543,POC run,2025-11-16,2025-12-13,,,,,Company 311,Parent Account 36,Cloud Arch,Yes,No,No,Legacy expensive,M&A drive,Best fit,Competitor B,GSII,
OPP-FY26-0312,NORAM,Enterprise,Company 312 - Cloud Cost Optimization,Prove,Owner 93,0,Q2 FY26,Analytics & Reporting,115759,Exec sponsor confirm,2026-01-01,,,,,,Company 312,,Cloud Arch,No,,,,Budget expires FY,Low TCO,Internal Build,GSII,Visibility
OPP-FY26-0313,GP&A,Mid-Market,Company 313 - Analytics & Reporting,Explore,Owner 121,4,Q1 FY26,DevOps & Automation,98247,Deep dive,2025-10-19,,,,255,,Company 313,Parent Account 136,Infra Lead,No,No,,,Renewal soon,Best fit,Competitor A,Consulting Co,Faster release
OPP-FY26-0314,APAC,Public Sector,Company 314 - AI/ML Enablement,Explore,Owner 191,3,Q2 FY26,Security & Compliance,97548,Proposal review,2026-02-19,2026-03-10,,2026-05-23,,,Company 314,Parent Account 15,CTO,Yes,No,No,,Exec mandate,,Competitor A,Partner X,Security posture
OPP-FY26-0315,LAC,Enterprise,Company 315 - Analytics & Reporting,Prove,Owner 49,2,Q1 FY26,Customer 360 View,131043,,2025-10-08,,2025-11-16,,,,Company 315,Parent Account 9,CTO,Yes,,,,Exec mandate,References match,Competitor C,Consulting Co,Security posture
OPP-FY26-0316,LAC,Enterprise,Company 316 - Customer 360 View,Explore,Owner 7,0,Q1 FY26,Customer 360 View,60633,Procurement alignment,2025-12-24,,,,,,Company 316,,Director IT,Yes,Yes,Yes,Fragmented tools,Budget expires FY,Best fit,Competitor B,None,Security posture
OPP-FY26-0317,GP&A,Enterprise,Company 317 - DevOps & Automation,Commit,Owner 100,1,Q1 FY26,Security & Compliance,90144,POC run,2025-12-26,2026-01-16,,,,,Company 317,Parent Account 157,,Yes,,,Does not scale,Renewal soon,,Competitor C,Partner Y,
OPP-FY26-0318,GP&A,SMB,Company 318 - Analytics & Reporting,Prove,Owner 167,2,Q1 FY26,Security & Compliance,49703,Procurement alignment,2025-12-30,,2026-01-14,,,,Company 318,,Head of Data,No,No,Yes,Does not scale,M&A drive,Strong roadmap,Competitor A,None,Visibility
OPP-FY26-0319,APAC,SMB,Company 319 - AI/ML Enablement,Explore,Owner 146,1,Q2 FY26,AI/ML Enablement,72729,,2026-03-29,2026-05-06,,,,,Company 319,,CTO,No,No,,Legacy expensive,M&A drive,Best fit,Competitor A,GSII,Security posture
OPP-FY26-0320,NORAM,SMB,Company 320 - Customer 360 View,Explore,Owner 154,3,Q1 FY26,Analytics & Reporting,55376,,2025-11-24,2025-12-27,2026-01-06,2026-01-26,,,Company 320,Parent Account 93,Cloud Arch,,Yes,,,,,Internal Build,Consulting Co,Reduce Ops
OPP-FY26-0321,EMEA,Mid-Market,Company 321 - Security & Compliance,Prove,Owner 108,2,Q1 FY26,AI/ML Enablement,63462,Procurement alignment,2025-11-17,2025-11-23,2025-12-01,,,,Company 321,Parent Account 177,,No,No,,,,References match,Internal Build,GSII,Visibility
OPP-FY26-0322,LAC,Enterprise,Company 322 - Cloud Cost Optimization,Explore,Owner 191,3,Q1 FY26,Security & Compliance,85570,Implementation plan,2025-12-07,2026-01-12,2026-01-15,2026-02-15,,,Company 322,Parent Account 140,,,Yes,Yes,,Exec mandate,Low TCO,Internal Build,Consulting Co,Faster release
OPP-FY26-0323,GP&A,SMB,Company 323 - Analytics & Reporting,Commit,Owner 177,4,Q2 FY26,DevOps & Automation,36646,Proposal review,2026-01-18,2026-02-23,2026-03-19,2026-03-29,171,,Company 323,Parent Account 73,Infra Lead,Yes,,Yes,,Renewal soon,Low TCO,Internal Build,Partner Y,Reduce Ops
OPP-FY26-0324,GP&A,Enterprise,Company 324 - Data Platform Modernization,Explore,Owner 130,4,Q2 FY26,Data Platform Modernization,210119,Implementation plan,2026-01-06,2026-01-16,2026-01-31,2026-03-05,199,,Company 324,Parent Account 169,VP Eng,No,Yes,,,Exec mandate,,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0325,GP&A,Mid-Market,Company 325 - AI/ML Enablement,Prove,Owner 133,3,Q1 FY26,Security & Compliance,32741,Exec sponsor confirm,2025-11-19,2025-12-31,2026-02-13,2026-03-13,,,Company 325,Parent Account 26,Infra Lead,Yes,No,No,Legacy expensive,,Low TCO,Status Quo,Partner Y,Visibility
OPP-FY26-0326,NORAM,Mid-Market,Company 326 - DevOps & Automation,Explore,Owner 77,4,Q3 FY26,Security & Compliance,28896,Implementation plan,2026-05-24,2026-06-01,,2026-08-06,51,,Company 326,Parent Account 63,Infra Lead,No,,Yes,,,,Competitor B,Partner X,Visibility
OPP-FY26-0327,GP&A,Enterprise,Company 327 - Security & Compliance,Commit,Owner 108,2,Q3 FY26,AI/ML Enablement,119954,Deep dive,2026-05-22,,2026-07-05,,,,Company 327,,Infra Lead,,Yes,,Does not scale,M&A drive,,Competitor C,Partner X,Reduce Ops
OPP-FY26-0328,APAC,Mid-Market,Company 328 - Data Platform Modernization,Prove,Owner 124,4,Q1 FY26,Security & Compliance,96278,,2025-10-06,2025-11-11,,,260,,Company 328,,VP Eng,No,No,No,,Exec mandate,Low TCO,Status Quo,GSII,Reduce Ops
OPP-FY26-0329,GP&A,Strategic Accounts,Company 329 - Security & Compliance,Commit,Owner 91,3,Q2 FY26,Data Platform Modernization,87070,,2026-01-19,2026-02-19,2026-03-21,2026-05-01,,,Company 329,,,Yes,No,No,Does not scale,,Strong roadmap,Competitor B,GSII,
OPP-FY26-0330,EMEA,Mid-Market,Company 330 - AI/ML Enablement,Commit,Owner 83,2,Q2 FY26,Security & Compliance,87291,POC run,2026-01-04,,2026-02-08,,,,Company 330,Parent Account 99,VP Eng,,No,Yes,Reg risk,,,Competitor A,Consulting Co,
OPP-FY26-0331,GP&A,Mid-Market,Company 331 - Customer 360 View,Explore,Owner 73,2,Q2 FY26,Cloud Cost Optimization,59435,Exec sponsor confirm,2026-01-16,2026-01-26,2026-02-05,,,,Company 331,Parent Account 148,CIO,,,Yes,,Renewal soon,References match,Competitor C,GSII,Security posture
OPP-FY26-0332,APAC,SMB,Company 332 - Customer 360 View,Explore,Owner 8,4,Q3 FY26,Security & Compliance,34949,Implementation plan,2026-04-17,2026-05-10,2026-06-13,2026-07-25,61,,Company 332,Parent Account 3,,No,,,Does not scale,Renewal soon,,Competitor A,Partner X,Visibility
OPP-FY26-0333,GP&A,SMB,Company 333 - DevOps & Automation,Explore,Owner 36,0,Q1 FY26,Customer 360 View,62660,POC run,2025-12-07,,,,,,Company 333,Parent Account 33,VP Eng,No,Yes,Yes,Reg risk,Exec mandate,,Competitor C,GSII,Visibility
OPP-FY26-0334,APAC,Enterprise,Company 334 - AI/ML Enablement,Explore,Owner 55,1,Q2 FY26,Cloud Cost Optimization,39882,Implementation plan,2026-03-18,2026-05-01,,,,,Company 334,Parent Account 120,Cloud Arch,,Yes,No,Does not scale,Budget expires FY,Low TCO,Competitor B,GSII,Faster release
OPP-FY26-0335,NORAM,Strategic Accounts,Company 335 - Cloud Cost Optimization,Commit,Owner 29,4,Q2 FY26,Security & Compliance,107481,Exec sponsor confirm,2026-02-09,,,2026-04-08,168,,Company 335,Parent Account 118,CTO,No,No,Yes,Fragmented tools,,References match,Competitor A,Consulting Co,Security posture
OPP-FY26-0336,GP&A,Mid-Market,Company 336 - Data Platform Modernization,Explore,Owner 104,0,Q2 FY26,Security & Compliance,54817,Procurement alignment,2026-03-16,,,,,,Company 336,Parent Account 136,Head of Data,,Yes,,Fragmented tools,,,Status Quo,Consulting Co,Faster release
OPP-FY26-0337,NORAM,SMB,Company 337 - DevOps & Automation,Prove,Owner 181,1,Q3 FY26,Customer 360 View,36486,,2026-04-06,2026-04-26,,,,,Company 337,Parent Account 1,,No,,,Does not scale,Budget expires FY,References match,Competitor A,Partner Y,Security posture
OPP-FY26-0338,GP&A,Public Sector,Company 338 - Cloud Cost Optimization,Prove,Owner 64,1,Q2 FY26,AI/ML Enablement,49373,Exec sponsor confirm,2026-03-23,2026-03-26,,,,,Company 338,Parent Account 5,Head of Data,No,Yes,,Does not scale,Exec mandate,Strong roadmap,Competitor C,GSII,
OPP-FY26-0339,EMEA,Public Sector,Company 339 - DevOps & Automation,Commit,Owner 6,2,Q1 FY26,Security & Compliance,76707,Exec sponsor confirm,2025-12-17,2026-01-10,2026-02-15,,,,Company 339,,Cloud Arch,Yes,,No,,M&A drive,Strong roadmap,Status Quo,Consulting Co,
OPP-FY26-0340,APAC,Public Sector,Company 340 - Customer 360 View,Commit,Owner 88,2,Q3 FY26,Analytics & Reporting,42691,POC run,2026-05-16,2026-06-09,2026-07-07,,,,Company 340,Parent Account 111,Cloud Arch,No,Yes,Yes,Legacy expensive,Exec mandate,,Competitor C,Partner X,
OPP-FY26-0341,APAC,Enterprise,Company 341 - AI/ML Enablement,Prove,Owner 2,0,Q1 FY26,AI/ML Enablement,36558,POC run,2025-11-25,,,,,,Company 341,Parent Account 1,CIO,No,Yes,,Legacy expensive,,Low TCO,Competitor C,Partner Y,Faster release
OPP-FY26-0342,LAC,SMB,Company 342 - Security & Compliance,Commit,Owner 112,0,Q3 FY26,DevOps & Automation,69300,POC run,2026-05-17,,,,,,Company 342,,Cloud Arch,Yes,No,No,Does not scale,M&A drive,References match,Internal Build,Partner X,Reduce Ops
OPP-FY26-0343,GP&A,Strategic Accounts,Company 343 - Cloud Cost Optimization,Commit,Owner 7,2,Q2 FY26,Analytics & Reporting,69354,Procurement alignment,2026-02-06,2026-03-03,2026-04-04,,,,Company 343,Parent Account 194,CTO,No,,,,Renewal soon,References match,Competitor A,Partner X,Security posture
OPP-FY26-0344,EMEA,Public Sector,Company 344 - AI/ML Enablement,Commit,Owner 85,0,Q1 FY26,Analytics & Reporting,44171,,2025-12-25,,,,,,Company 344,Parent Account 190,Head of Data,Yes,Yes,,,Exec mandate,Low TCO,Status Quo,Partner Y,
OPP-FY26-0345,NORAM,Enterprise,Company 345 - AI/ML Enablement,Explore,Owner 130,1,Q2 FY26,AI/ML Enablement,45133,,2026-03-04,2026-03-14,,,,,Company 345,Parent Account 32,VP Eng,Yes,No,No,Fragmented tools,,,Status Quo,Partner Y,Faster release
OPP-FY26-0346,GP&A,Enterprise,Company 346 - AI/ML Enablement,Prove,Owner 109,2,Q2 FY26,Security & Compliance,68818,Implementation plan,2026-03-20,2026-03-29,2026-05-08,,,,Company 346,Parent Account 118,CIO,Yes,Yes,,Does not scale,M&A drive,,Competitor B,GSII,Reduce Ops
OPP-FY26-0347,NORAM,SMB,Company 347 - Analytics & Reporting,Commit,Owner 78,4,Q2 FY26,AI/ML Enablement,25113,Procurement alignment,2026-01-08,,2026-02-19,2026-03-05,165,,Company 347,Parent Account 166,Director IT,No,Yes,,Does not scale,Exec mandate,,Competitor A,Partner Y,
OPP-FY26-0348,NORAM,Mid-Market,Company 348 - Cloud Cost Optimization,Explore,Owner 187,0,Q2 FY26,AI/ML Enablement,25732,Implementation plan,2026-02-05,,,,,,Company 348,,Director IT,Yes,,Yes,Does not scale,Renewal soon,,Internal Build,Consulting Co,Reduce Ops
OPP-FY26-0349,LAC,Mid-Market,Company 349 - Cloud Cost Optimization,Commit,Owner 7,4,Q2 FY26,DevOps & Automation,38907,Proposal review,2026-02-20,2026-03-07,,,139,,Company 349,,CIO,Yes,No,Yes,,Budget expires FY,References match,Competitor C,None,Reduce Ops
OPP-FY26-0350,APAC,Strategic Accounts,Company 350 - Security & Compliance,Explore,Owner 154,3,Q2 FY26,Customer 360 View,52676,Exec sponsor confirm,2026-01-18,2026-03-02,,2026-04-05,,,Company 350,Parent Account 58,Cloud Arch,No,,Yes,Fragmented tools,Budget expires FY,Strong roadmap,Competitor A,None,Visibility
OPP-FY26-0351,APAC,Mid-Market,Company 351 - Security & Compliance,Commit,Owner 188,2,Q2 FY26,Data Platform Modernization,72153,,2026-03-17,2026-03-21,2026-03-26,,,,Company 351,,Infra Lead,,Yes,Yes,Fragmented tools,Renewal soon,References match,Competitor C,Partner X,
OPP-FY26-0352,APAC,Mid-Market,Company 352 - Customer 360 View,Commit,Owner 98,4,Q1 FY26,DevOps & Automation,145105,Deep dive,2025-11-27,2026-01-10,2026-02-04,2026-03-06,175,,Company 352,Parent Account 5,Head of Data,No,Yes,No,Fragmented tools,Exec mandate,Strong roadmap,Competitor A,Partner Y,
OPP-FY26-0353,LAC,Public Sector,Company 353 - Cloud Cost Optimization,Explore,Owner 185,0,Q1 FY26,Security & Compliance,100167,Procurement alignment,2025-11-28,,,,,,Company 353,,,,,Yes,Legacy expensive,M&A drive,,Status Quo,Partner Y,Faster release
OPP-FY26-0354,EMEA,Mid-Market,Company 354 - Customer 360 View,Prove,Owner 82,2,Q3 FY26,DevOps & Automation,54395,POC run,2026-05-18,2026-06-04,2026-07-05,,,,Company 354,Parent Account 27,CIO,No,,Yes,,,,Competitor B,Consulting Co,Faster release
OPP-FY26-0355,LAC,Strategic Accounts,Company 355 - Data Platform Modernization,Explore,Owner 16,0,Q2 FY26,Data Platform Modernization,59194,Deep dive,2026-02-05,,,,,,Company 355,,Director IT,No,,,Reg risk,,Strong roadmap,Status Quo,GSII,Security posture
OPP-FY26-0356,LAC,Strategic Accounts,Company 356 - DevOps & Automation,Commit,Owner 74,4,Q1 FY26,Analytics & Reporting,32809,Deep dive,2025-11-25,2025-11-29,2025-12-23,2026-02-03,209,,Company 356,,Head of Data,,No,,,,Best fit,Competitor C,GSII,
OPP-FY26-0357,LAC,Enterprise,Company 357 - Cloud Cost Optimization,Prove,Owner 146,2,Q2 FY26,DevOps & Automation,59212,Implementation plan,2026-01-01,,2026-03-07,,,,Company 357,Parent Account 68,,,Yes,No,Legacy expensive,,Strong roadmap,Internal Build,Partner Y,Security posture
OPP-FY26-0358,LAC,Enterprise,Company 358 - Security & Compliance,Explore,Owner 168,2,Q1 FY26,Cloud Cost Optimization,50352,,2025-12-06,,2026-01-20,,,,Company 358,Parent Account 130,Cloud Arch,,,No,Fragmented tools,Exec mandate,Low TCO,Competitor C,Partner X,Visibility
OPP-FY26-0359,EMEA,Public Sector,Company 359 - Data Platform Modernization,Commit,Owner 107,0,Q2 FY26,Cloud Cost Optimization,72666,,2026-02-08,,,,,,Company 359,Parent Account 73,,No,No,No,Does not scale,Budget expires FY,Strong roadmap,Status Quo,Partner X,Visibility
OPP-FY26-0360,LAC,Enterprise,Company 360 - DevOps & Automation,Commit,Owner 39,2,Q2 FY26,AI/ML Enablement,36448,Proposal review,2026-02-08,2026-03-15,2026-04-24,,,,Company 360,,,Yes,Yes,No,Fragmented tools,Renewal soon,,Competitor B,None,Security posture
OPP-FY26-0361,NORAM,Strategic Accounts,Company 361 - DevOps & Automation,Prove,Owner 93,2,Q1 FY26,Cloud Cost Optimization,81765,Implementation plan,2025-12-02,2025-12-28,2026-01-14,,,,Company 361,Parent Account 130,CIO,No,No,Yes,Legacy expensive,Budget expires FY,References match,Competitor B,None,Security posture
OPP-FY26-0362,LAC,Strategic Accounts,Company 362 - DevOps & Automation,Explore,Owner 47,2,Q1 FY26,AI/ML Enablement,150188,Exec sponsor confirm,2025-12-20,2025-12-30,2026-01-07,,,,Company 362,Parent Account 31,Director IT,No,Yes,,Legacy expensive,Budget expires FY,References match,Competitor C,Partner Y,Faster release
OPP-FY26-0363,EMEA,Public Sector,Company 363 - Customer 360 View,Commit,Owner 28,1,Q3 FY26,DevOps & Automation,56091,Deep dive,2026-04-01,2026-04-22,,,,,Company 363,Parent Account 190,VP Eng,No,,No,Legacy expensive,,Low TCO,Competitor C,Consulting Co,Faster release
OPP-FY26-0364,APAC,Mid-Market,Company 364 - Data Platform Modernization,Prove,Owner 88,1,Q2 FY26,Cloud Cost Optimization,76193,POC run,2026-02-08,2026-03-20,,,,,Company 364,Parent Account 135,Head of Data,No,,Yes,Fragmented tools,Budget expires FY,Strong roadmap,Status Quo,GSII,Visibility
OPP-FY26-0365,NORAM,Mid-Market,Company 365 - Data Platform Modernization,Prove,Owner 156,1,Q1 FY26,Analytics & Reporting,90588,POC run,2025-10-31,2025-11-21,,,,,Company 365,Parent Account 60,Infra Lead,,,Yes,,Renewal soon,Strong roadmap,Status Quo,Consulting Co,Faster release
OPP-FY26-0366,EMEA,Enterprise,Company 366 - Data Platform Modernization,Explore,Owner 191,3,Q1 FY26,Analytics & Reporting,47064,Deep dive,2025-12-15,2025-12-25,2026-01-04,2026-02-04,,,Company 366,Parent Account 20,,No,Yes,No,Fragmented tools,,Low TCO,Competitor A,Partner Y,Reduce Ops
OPP-FY26-0367,GP&A,Mid-Market,Company 367 - DevOps & Automation,Prove,Owner 73,1,Q2 FY26,Security & Compliance,68490,POC run,2026-03-22,2026-04-06,,,,,Company 367,Parent Account 23,Head of Data,,Yes,Yes,Fragmented tools,Exec mandate,Best fit,Internal Build,None,Reduce Ops
OPP-FY26-0368,GP&A,Public Sector,Company 368 - Data Platform Modernization,Commit,Owner 124,1,Q3 FY26,Data Platform Modernization,60328,Implementation plan,2026-05-13,2026-06-03,,,,,Company 368,Parent Account 29,Cloud Arch,No,,,Reg risk,,References match,Internal Build,Consulting Co,Faster release
OPP-FY26-0369,GP&A,Enterprise,Company 369 - Customer 360 View,Prove,Owner 67,0,Q1 FY26,DevOps & Automation,63487,POC run,2025-12-14,,,,,,Company 369,Parent Account 101,Cloud Arch,No,,Yes,,,Best fit,Competitor A,None,
OPP-FY26-0370,NORAM,SMB,Company 370 - Customer 360 View,Explore,Owner 41,4,Q1 FY26,Analytics & Reporting,37653,,2025-10-06,2025-10-10,2025-11-06,2025-11-14,296,,Company 370,Parent Account 184,CTO,Yes,No,Yes,Fragmented tools,Renewal soon,,Competitor C,GSII,
