opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-01791,NORAM,Strategic Accounts,Company 2791 - AI/ML Enablement,Commit,Owner 119,Closed Won,Q2 FY25,AI/ML Enablement,202243,Deep dive,2025-01-05,2025-01-20,2025-02-22,2025-02-26,,2025-03-20,Company 2791,Parent Account 35,CTO,,Yes,Yes,,,,Status Quo,Partner X,Visibility
OPP-HIST-01792,APAC,Public Sector,Company 2792 - Cloud Cost Optimization,Explore,Owner 175,Closed Lost,Q1 FY25,Analytics & Reporting,118800,,2024-11-18,2024-12-17,,,14,2025-03-20,Company 2792,,Director IT,No,No,No,,,Low TCO,Competitor C,None,Security posture
OPP-HIST-01793,LAC,Enterprise,Company 2793 - Analytics & Reporting,Prove,Owner 22,Closed Lost,Q1 FY24,Data Platform Modernization,63558,Exec sponsor confirm,2023-12-07,,,2024-01-24,16,2024-02-12,Company 2793,Parent Account 132,CTO,No,,Yes,Does not scale,Exec mandate,Strong roadmap,Competitor C,GSII,Reduce Ops
OPP-HIST-01794,EMEA,Enterprise,Company 2794 - AI/ML Enablement,Commit,Owner 32,Closed Won,Q1 FY25,DevOps & Automation,34003,Exec sponsor confirm,2024-12-20,2025-01-15,2025-02-07,,24,2025-04-03,Company 2794,Parent Account 7,Director IT,,Yes,,Does not scale,Budget expires FY,Low TCO,Competitor A,Consulting Co,
OPP-HIST-01795,LAC,Enterprise,Company 2795 - Security & Compliance,Commit,Owner 45,Closed Won,Q1 FY24,Cloud Cost Optimization,33479,Procurement alignment,2023-11-10,2023-12-06,2024-01-13,2024-02-09,,2024-03-04,Company 2795,,,Yes,No,,Legacy expensive,Exec mandate,References match,Status Quo,None,Reduce Ops
OPP-HIST-01796,NORAM,Mid-Market,Company 2796 - Data Platform Modernization,Commit,Owner 191,Closed Lost,Q2 FY25,AI/ML Enablement,86315,Deep dive,2025-02-12,2025-02-26,2025-03-18,2025-04-10,,2025-05-07,Company 2796,,Cloud Arch,Yes,Yes,No,Reg risk,Exec mandate,Best fit,Competitor A,Partner X,Security posture
OPP-HIST-01797,GP&A,SMB,Company 2797 - DevOps & Automation,Commit,Owner 128,Closed Lost,Q2 FY24,DevOps & Automation,80248,Deep dive,2024-01-23,2024-01-31,,2024-03-20,43,2024-05-10,Company 2797,Parent Account 159,CTO,Yes,,No,Legacy expensive,Budget expires FY,,Competitor A,GSII,Visibility
OPP-HIST-01798,EMEA,Public Sector,Company 2798 - Security & Compliance,Commit,Owner 144,Closed Won,Q1 FY24,Security & Compliance,159710,Implementation plan,2023-10-10,2023-11-08,,2023-12-25,7,2024-01-12,Company 2798,Parent Account 111,CTO,No,,Yes,Does not scale,Exec mandate,,Status Quo,Partner X,Security posture
OPP-HIST-01799,NORAM,SMB,Company 2799 - Analytics & Reporting,Commit,Owner 185,Closed Won,Q1 FY24,Data Platform Modernization,94401,POC run,2023-11-28,2023-12-02,2023-12-07,2023-12-15,,2024-01-13,Company 2799,Parent Account 70,CIO,,No,No,Fragmented tools,M&A drive,Strong roadmap,Competitor A,None,Visibility
OPP-HIST-01800,LAC,Strategic Accounts,Company 2800 - Data Platform Modernization,Explore,Owner 39,Closed Lost,Q2 FY25,Security & Compliance,20907,POC run,2025-03-05,,,,,2025-08-02,Company 2800,Parent Account 17,Director IT,No,No,No,Reg risk,M&A drive,,Status Quo,Consulting Co,Faster release
OPP-HIST-01801,EMEA,SMB,Company 2801 - Analytics & Reporting,Commit,Owner 17,Closed Lost,Q2 FY24,Cloud Cost Optimization,125036,Deep dive,2024-01-22,,,,,2024-05-29,Company 2801,Parent Account 174,Head of Data,Yes,Yes,,Fragmented tools,Renewal soon,Low TCO,Status Quo,None,
OPP-HIST-01802,GP&A,Enterprise,Company 2802 - Security & Compliance,Explore,Owner 187,Closed Won,Q1 FY25,Cloud Cost Optimization,29773,,2024-11-05,,,2024-12-17,,2025-02-02,Company 2802,Parent Account 87,CTO,Yes,No,Yes,Does not scale,,,Competitor C,Partner X,Reduce Ops
OPP-HIST-01803,NORAM,SMB,Company 2803 - Analytics & Reporting,Explore,Owner 148,Closed Lost,Q1 FY24,Data Platform Modernization,45762,POC run,2023-12-12,2024-01-24,,2024-04-07,,2024-05-14,Company 2803,Parent Account 14,Head of Data,Yes,Yes,Yes,,Budget expires FY,Best fit,Competitor B,Partner Y,Reduce Ops
OPP-HIST-01804,NORAM,Enterprise,Company 2804 - Cloud Cost Optimization,Explore,Owner 168,Closed Lost,Q2 FY24,AI/ML Enablement,71334,Procurement alignment,2024-01-15,,2024-02-20,,43,2024-05-14,Company 2804,Parent Account 16,,Yes,,Yes,Legacy expensive,Budget expires FY,Strong roadmap,Competitor B,Consulting Co,
OPP-HIST-01805,GP&A,Enterprise,Company 2805 - Analytics & Reporting,Explore,Owner 55,Closed Won,Q3 FY25,Analytics & Reporting,242066,Proposal review,2025-04-23,2025-05-25,2025-07-08,2025-07-26,5,2025-09-01,Company 2805,Parent Account 200,CIO,No,Yes,No,,Renewal soon,,Status Quo,Partner X,Visibility
OPP-HIST-01806,GP&A,SMB,Company 2806 - DevOps & Automation,Prove,Owner 122,Closed Won,Q3 FY24,Security & Compliance,528048,Exec sponsor confirm,2024-05-10,2024-05-19,,,39,2024-08-21,Company 2806,,,,Yes,No,Reg risk,,Best fit,Competitor A,Partner Y,Visibility
OPP-HIST-01807,NORAM,Mid-Market,Company 2807 - Cloud Cost Optimization,Prove,Owner 161,Closed Lost,Q2 FY25,Security & Compliance,91556,Implementation plan,2025-02-09,2025-03-12,,2025-05-14,33,2025-07-20,Company 2807,Parent Account 124,,No,Yes,Yes,Fragmented tools,Budget expires FY,,Competitor A,Partner Y,Faster release
OPP-HIST-01808,LAC,Mid-Market,Company 2808 - Cloud Cost Optimization,Commit,Owner 89,Closed Won,Q3 FY25,AI/ML Enablement,52667,Procurement alignment,2025-05-31,2025-07-07,,2025-08-24,-5,2025-09-25,Company 2808,Parent Account 73,Infra Lead,No,No,Yes,Does not scale,,References match,Competitor B,Partner Y,Security posture
OPP-HIST-01809,GP&A,Mid-Market,Company 2809 - Cloud Cost Optimization,Explore,Owner 61,Closed Lost,Q1 FY25,Data Platform Modernization,87042,Exec sponsor confirm,2024-11-07,2024-12-17,,2025-02-10,45,2025-05-08,Company 2809,Parent Account 73,Head of Data,,No,No,Legacy expensive,Budget expires FY,Low TCO,Internal Build,None,Security posture
OPP-HIST-01810,EMEA,Strategic Accounts,Company 2810 - DevOps & Automation,Explore,Owner 52,Closed Won,Q1 FY25,Security & Compliance,111453,Proposal review,2024-10-05,2024-10-11,,,36,2024-12-14,Company 2810,Parent Account 59,Cloud Arch,No,Yes,,,Budget expires FY,,Competitor B,None,Visibility
OPP-HIST-01811,NORAM,Public Sector,Company 2811 - Customer 360 View,Prove,Owner 146,Closed Won,Q3 FY25,DevOps & Automation,47835,Proposal review,2025-05-06,,2025-07-01,2025-07-06,23,2025-08-04,Company 2811,Parent Account 18,CTO,Yes,Yes,,Does not scale,Renewal soon,Best fit,Competitor B,Partner Y,Security posture
OPP-HIST-01812,LAC,Public Sector,Company 2812 - DevOps & Automation,Explore,Owner 55,Closed Won,Q1 FY25,AI/ML Enablement,210375,POC run,2024-12-26,2024-12-29,2025-02-06,2025-02-27,21,2025-04-27,Company 2812,,VP Eng,Yes,No,No,Reg risk,Exec mandate,Best fit,Competitor B,Partner Y,
OPP-HIST-01813,GP&A,SMB,Company 2813 - Cloud Cost Optimization,Commit,Owner 73,Closed Won,Q1 FY25,Security & Compliance,70336,Proposal review,2024-11-14,,2025-01-03,2025-02-02,,2025-02-20,Company 2813,,CTO,Yes,No,Yes,Reg risk,M&A drive,Low TCO,Competitor A,Consulting Co,
OPP-HIST-01814,NORAM,SMB,Company 2814 - Cloud Cost Optimization,Explore,Owner 180,Closed Won,Q3 FY25,AI/ML Enablement,84831,Exec sponsor confirm,2025-04-09,2025-05-13,2025-06-01,2025-06-18,23,2025-08-12,Company 2814,Parent Account 129,Head of Data,,No,No,Reg risk,M&A drive,Best fit,Internal Build,Partner Y,Faster release
OPP-HIST-01815,NORAM,Strategic Accounts,Company 2815 - Security & Compliance,Prove,Owner 117,Closed Lost,Q3 FY24,Security & Compliance,95429,Proposal review,2024-04-08,2024-05-05,2024-06-13,,,2024-09-30,Company 2815,,Director IT,,No,No,,Renewal soon,References match,Competitor C,None,Security posture
OPP-HIST-01816,EMEA,Strategic Accounts,Company 2816 - AI/ML Enablement,Explore,Owner 55,Closed Won,Q2 FY25,Customer 360 View,80427,Proposal review,2025-03-20,,2025-05-07,2025-05-15,31,2025-07-10,Company 2816,Parent Account 71,Infra Lead,Yes,No,Yes,Reg risk,M&A drive,References match,Competitor B,None,Security posture
OPP-HIST-01817,GP&A,Mid-Market,Company 2817 - DevOps & Automation,Explore,Owner 87,Closed Won,Q2 FY24,Analytics & Reporting,107716,POC run,2024-02-26,2024-03-31,2024-04-10,2024-05-06,28,2024-07-04,Company 2817,,Head of Data,No,No,Yes,Legacy expensive,M&A drive,References match,Internal Build,Consulting Co,
OPP-HIST-01818,APAC,Strategic Accounts,Company 2818 - Security & Compliance,Prove,Owner 77,Closed Lost,Q1 FY25,Cloud Cost Optimization,38867,POC run,2024-11-12,,,2025-01-20,41,2025-03-20,Company 2818,,CIO,Yes,Yes,Yes,,Exec mandate,References match,Competitor A,GSII,Visibility
OPP-HIST-01819,EMEA,Strategic Accounts,Company 2819 - Data Platform Modernization,Explore,Owner 38,Closed Lost,Q3 FY25,Cloud Cost Optimization,40505,POC run,2025-05-26,2025-06-01,2025-06-05,,,2025-09-12,Company 2819,,Infra Lead,No,No,Yes,Fragmented tools,Renewal soon,Strong roadmap,Status Quo,GSII,Visibility
OPP-HIST-01820,APAC,Mid-Market,Company 2820 - AI/ML Enablement,Explore,Owner 84,Closed Won,Q2 FY25,DevOps & Automation,27719,Proposal review,2025-02-11,2025-03-04,2025-04-09,2025-05-15,,2025-06-30,Company 2820,Parent Account 28,Director IT,,No,No,,,,Internal Build,GSII,Reduce Ops
OPP-HIST-01821,GP&A,Public Sector,Company 2821 - DevOps & Automation,Explore,Owner 141,Closed Lost,Q2 FY24,Cloud Cost Optimization,81442,Proposal review,2024-01-28,,,2024-05-02,14,2024-05-21,Company 2821,Parent Account 150,VP Eng,Yes,Yes,No,Fragmented tools,Budget expires FY,Best fit,Internal Build,None,Security posture
OPP-HIST-01822,APAC,SMB,Company 2822 - Security & Compliance,Prove,Owner 107,Closed Lost,Q1 FY24,AI/ML Enablement,103285,Procurement alignment,2023-10-28,2023-11-10,2023-12-01,2024-01-13,42,2024-02-29,Company 2822,Parent Account 30,CIO,Yes,,Yes,Reg risk,,Low TCO,Internal Build,Partner Y,Security posture
OPP-HIST-01823,LAC,Enterprise,Company 2823 - Security & Compliance,Prove,Owner 10,Closed Lost,Q3 FY25,AI/ML Enablement,82490,Procurement alignment,2025-04-12,2025-04-15,2025-05-30,,23,2025-08-29,Company 2823,,Cloud Arch,Yes,Yes,No,Reg risk,Renewal soon,References match,Competitor C,Partner X,Reduce Ops
OPP-HIST-01824,EMEA,Public Sector,Company 2824 - Security & Compliance,Commit,Owner 22,Closed Won,Q2 FY24,Data Platform Modernization,193328,POC run,2024-02-28,2024-03-24,,2024-05-11,3,2024-05-19,Company 2824,Parent Account 103,VP Eng,Yes,No,Yes,,Exec mandate,References match,Competitor C,Consulting Co,Security posture
OPP-HIST-01825,GP&A,Mid-Market,Company 2825 - DevOps & Automation,Commit,Owner 130,Closed Won,Q2 FY25,Data Platform Modernization,59640,,2025-03-29,2025-05-03,,2025-07-12,,2025-08-04,Company 2825,Parent Account 85,Infra Lead,Yes,No,Yes,Does not scale,,Low TCO,Status Quo,GSII,Faster release
OPP-HIST-01826,LAC,Mid-Market,Company 2826 - Analytics & Reporting,Commit,Owner 13,Closed Lost,Q2 FY25,Data Platform Modernization,95618,Implementation plan,2025-02-24,2025-04-07,,,45,2025-06-15,Company 2826,,,Yes,Yes,,Reg risk,Renewal soon,,Competitor A,GSII,
OPP-HIST-01827,LAC,Public Sector,Company 2827 - Security & Compliance,Prove,Owner 160,Closed Lost,Q2 FY24,Data Platform Modernization,27884,,2024-03-01,2024-04-15,2024-05-28,2024-07-06,,2024-09-17,Company 2827,Parent Account 171,,Yes,Yes,Yes,Reg risk,Exec mandate,,Status Quo,Partner X,
OPP-HIST-01828,NORAM,Strategic Accounts,Company 2828 - Analytics & Reporting,Explore,Owner 178,Closed Won,Q1 FY25,DevOps & Automation,45662,,2024-11-24,2024-11-27,2024-12-23,2025-02-04,,2025-04-04,Company 2828,,,No,,Yes,Legacy expensive,Renewal soon,,Competitor C,Partner X,Reduce Ops
OPP-HIST-01829,GP&A,Mid-Market,Company 2829 - Analytics & Reporting,Commit,Owner 18,Closed Lost,Q3 FY24,Customer 360 View,97428,,2024-04-26,2024-05-19,2024-06-18,2024-07-26,24,2024-09-25,Company 2829,,Director IT,,Yes,Yes,Fragmented tools,,,Internal Build,Partner X,Security posture
OPP-HIST-01830,NORAM,Mid-Market,Company 2830 - AI/ML Enablement,Prove,Owner 146,Closed Lost,Q1 FY24,AI/ML Enablement,108485,Proposal review,2023-10-04,,,,,2024-02-16,Company 2830,Parent Account 146,Director IT,Yes,Yes,No,,Exec mandate,Strong roadmap,Status Quo,Consulting Co,Faster release
OPP-HIST-01831,EMEA,Mid-Market,Company 2831 - Security & Compliance,Explore,Owner 152,Closed Won,Q3 FY24,Customer 360 View,48738,Exec sponsor confirm,2024-05-06,2024-05-12,,,4,2024-08-17,Company 2831,,Cloud Arch,,No,,,Budget expires FY,,Competitor A,Partner Y,Visibility
OPP-HIST-01832,APAC,Strategic Accounts,Company 2832 - Analytics & Reporting,Prove,Owner 150,Closed Lost,Q3 FY25,DevOps & Automation,56947,,2025-05-21,,2025-07-31,2025-09-11,5,2025-09-25,Company 2832,Parent Account 100,Head of Data,No,No,Yes,Legacy expensive,,,Internal Build,Partner Y,Security posture
OPP-HIST-01833,EMEA,Mid-Market,Company 2833 - Data Platform Modernization,Commit,Owner 82,Closed Lost,Q2 FY24,Data Platform Modernization,20691,Proposal review,2024-02-25,,,,43,2024-07-11,Company 2833,Parent Account 99,,Yes,No,Yes,,Renewal soon,Strong roadmap,Internal Build,Partner Y,Visibility
OPP-HIST-01834,APAC,SMB,Company 2834 - AI/ML Enablement,Explore,Owner 22,Closed Won,Q1 FY24,AI/ML Enablement,46633,Proposal review,2023-12-27,2024-01-01,2024-01-08,2024-01-28,,2024-03-12,Company 2834,Parent Account 67,Head of Data,No,No,No,Reg risk,Renewal soon,Best fit,Competitor C,Consulting Co,Visibility
OPP-HIST-01835,APAC,Strategic Accounts,Company 2835 - Customer 360 View,Explore,Owner 105,Closed Lost,Q1 FY24,DevOps & Automation,111666,Procurement alignment,2023-10-20,2023-11-05,2023-11-19,,20,2024-01-22,Company 2835,Parent Account 25,,Yes,No,No,Legacy expensive,,,Internal Build,Partner X,Visibility
OPP-HIST-01836,NORAM,Enterprise,Company 2836 - Cloud Cost Optimization,Commit,Owner 69,Closed Lost,Q1 FY24,Security & Compliance,89558,,2023-11-22,2024-01-02,2024-01-17,2024-01-22,5,2024-03-07,Company 2836,Parent Account 136,CIO,No,No,Yes,,Renewal soon,,Competitor A,Partner Y,Visibility
OPP-HIST-01837,NORAM,Enterprise,Company 2837 - Customer 360 View,Prove,Owner 142,Closed Won,Q2 FY24,Security & Compliance,85005,POC run,2024-01-26,2024-02-11,2024-03-12,2024-03-27,27,2024-06-06,Company 2837,Parent Account 82,CIO,No,No,No,Fragmented tools,Budget expires FY,Strong roadmap,Competitor C,None,Visibility
OPP-HIST-01838,GP&A,Mid-Market,Company 2838 - DevOps & Automation,Commit,Owner 71,Closed Lost,Q2 FY25,Cloud Cost Optimization,61997,Proposal review,2025-02-11,,2025-04-14,2025-04-21,,2025-06-01,Company 2838,Parent Account 133,CTO,Yes,,Yes,,Renewal soon,,Competitor B,Partner Y,Visibility
OPP-HIST-01839,EMEA,Public Sector,Company 2839 - DevOps & Automation,Explore,Owner 38,Closed Lost,Q2 FY25,AI/ML Enablement,60170,Implementation plan,2025-02-06,2025-03-10,2025-03-31,,,2025-05-30,Company 2839,Parent Account 169,VP Eng,Yes,Yes,No,Does not scale,Exec mandate,,Competitor A,Consulting Co,Security posture
OPP-HIST-01840,NORAM,Public Sector,Company 2840 - Analytics & Reporting,Commit,Owner 176,Closed Lost,Q2 FY25,Customer 360 View,37713,,2025-02-08,2025-03-13,2025-04-01,2025-04-15,44,2025-07-02,Company 2840,Parent Account 132,CIO,No,,No,,M&A drive,References match,Internal Build,Partner Y,Visibility
OPP-HIST-01841,NORAM,Strategic Accounts,Company 2841 - Customer 360 View,Prove,Owner 99,Closed Won,Q3 FY25,DevOps & Automation,97653,,2025-05-24,,2025-07-11,2025-07-17,26,2025-09-23,Company 2841,,Cloud Arch,No,,Yes,,Budget expires FY,References match,Status Quo,None,Faster release
OPP-HIST-01842,NORAM,Public Sector,Company 2842 - DevOps & Automation,Prove,Owner 59,Closed Lost,Q3 FY25,AI/ML Enablement,80392,Proposal review,2025-05-25,2025-06-28,,2025-09-07,3,2025-09-25,Company 2842,Parent Account 197,Director IT,Yes,No,,Reg risk,Budget expires FY,Low TCO,Competitor A,Consulting Co,Faster release
OPP-HIST-01843,EMEA,Public Sector,Company 2843 - Security & Compliance,Prove,Owner 116,Closed Lost,Q3 FY25,AI/ML Enablement,84492,Implementation plan,2025-05-31,2025-06-28,2025-07-28,,,2025-09-25,Company 2843,Parent Account 99,Director IT,Yes,,Yes,,Budget expires FY,Strong roadmap,Competitor B,GSII,Security posture
OPP-HIST-01844,APAC,Strategic Accounts,Company 2844 - Data Platform Modernization,Explore,Owner 110,Closed Lost,Q2 FY24,AI/ML Enablement,41430,Exec sponsor confirm,2024-02-26,2024-03-08,,2024-04-14,,2024-05-21,Company 2844,,VP Eng,No,,Yes,Fragmented tools,,Best fit,Competitor B,Consulting Co,
OPP-HIST-01845,LAC,Enterprise,Company 2845 - Security & Compliance,Commit,Owner 51,Closed Won,Q2 FY25,AI/ML Enablement,13262,Procurement alignment,2025-03-26,2025-04-25,2025-05-28,2025-06-29,4,2025-07-11,Company 2845,,,No,No,No,Reg risk,Renewal soon,Low TCO,Competitor C,GSII,
OPP-HIST-01846,APAC,Enterprise,Company 2846 - Cloud Cost Optimization,Commit,Owner 114,Closed Won,Q2 FY25,Analytics & Reporting,129056,Deep dive,2025-01-22,,,2025-04-24,32,2025-06-24,Company 2846,Parent Account 44,Cloud Arch,No,,,Legacy expensive,Budget expires FY,References match,Internal Build,None,
OPP-HIST-01847,LAC,Strategic Accounts,Company 2847 - AI/ML Enablement,Explore,Owner 193,Closed Won,Q2 FY25,Security & Compliance,42822,Implementation plan,2025-01-08,2025-02-10,2025-03-22,2025-04-22,,2025-06-01,Company 2847,Parent Account 99,Cloud Arch,No,Yes,,,M&A drive,,Competitor A,None,Security posture
OPP-HIST-01848,EMEA,Strategic Accounts,Company 2848 - Customer 360 View,Commit,Owner 114,Closed Won,Q2 FY24,DevOps & Automation,32730,Proposal review,2024-01-26,2024-03-05,,2024-04-28,36,2024-07-09,Company 2848,Parent Account 90,Cloud Arch,,No,,Does not scale,Budget expires FY,Low TCO,Competitor A,GSII,Reduce Ops
OPP-HIST-01849,NORAM,Public Sector,Company 2849 - Data Platform Modernization,Commit,Owner 133,Closed Won,Q3 FY25,Security & Compliance,97288,,2025-04-08,2025-04-19,,2025-06-07,10,2025-07-10,Company 2849,,Head of Data,Yes,Yes,No,,Exec mandate,,Competitor A,Consulting Co,Faster release
OPP-HIST-01850,LAC,Strategic Accounts,Company 2850 - Customer 360 View,Prove,Owner 136,Closed Lost,Q3 FY24,Customer 360 View,45505,Exec sponsor confirm,2024-05-27,2024-06-30,2024-07-10,2024-07-21,40,2024-09-17,Company 2850,Parent Account 127,Cloud Arch,,,Yes,Reg risk,,Strong roadmap,Internal Build,Partner Y,
OPP-HIST-01851,APAC,Public Sector,Company 2851 - Data Platform Modernization,Explore,Owner 75,Closed Lost,Q2 FY25,Cloud Cost Optimization,125737,Implementation plan,2025-03-26,2025-04-30,2025-06-08,2025-07-09,15,2025-08-08,Company 2851,Parent Account 59,VP Eng,Yes,No,Yes,Fragmented tools,Renewal soon,,Internal Build,None,Security posture
OPP-HIST-01852,LAC,Mid-Market,Company 2852 - DevOps & Automation,Commit,Owner 126,Closed Won,Q3 FY25,AI/ML Enablement,92217,POC run,2025-04-24,,2025-06-17,,26,2025-08-08,Company 2852,,,No,Yes,,Legacy expensive,,,Internal Build,None,Faster release
OPP-HIST-01853,NORAM,Mid-Market,Company 2853 - AI/ML Enablement,Prove,Owner 103,Closed Won,Q1 FY25,AI/ML Enablement,96615,,2024-12-26,2025-01-09,2025-02-12,2025-03-27,45,2025-06-10,Company 2853,Parent Account 190,,Yes,No,,Legacy expensive,M&A drive,Strong roadmap,Competitor B,Partner Y,Reduce Ops
OPP-HIST-01854,APAC,Strategic Accounts,Company 2854 - AI/ML Enablement,Explore,Owner 72,Closed Lost,Q2 FY24,Analytics & Reporting,23013,POC run,2024-03-30,2024-04-18,2024-06-02,2024-06-27,22,2024-09-02,Company 2854,Parent Account 7,Head of Data,Yes,No,Yes,Does not scale,Exec mandate,Strong roadmap,Competitor A,GSII,Security posture
OPP-HIST-01855,APAC,Mid-Market,Company 2855 - Analytics & Reporting,Explore,Owner 129,Closed Won,Q3 FY24,Data Platform Modernization,139854,Proposal review,2024-04-24,2024-05-18,2024-05-30,2024-06-25,35,2024-09-03,Company 2855,Parent Account 171,Cloud Arch,No,Yes,,,Budget expires FY,Strong roadmap,Internal Build,None,Visibility
OPP-HIST-01856,GP&A,Enterprise,Company 2856 - Cloud Cost Optimization,Commit,Owner 200,Closed Lost,Q3 FY24,Security & Compliance,71888,Implementation plan,2024-04-19,2024-05-08,2024-06-12,,29,2024-09-08,Company 2856,Parent Account 91,CTO,No,No,,,Exec mandate,,Competitor A,Partner X,
OPP-HIST-01857,NORAM,Enterprise,Company 2857 - Data Platform Modernization,Explore,Owner 4,Closed Won,Q2 FY25,Security & Compliance,46235,Procurement alignment,2025-02-27,2025-03-03,2025-03-09,2025-03-23,4,2025-04-04,Company 2857,,Cloud Arch,Yes,Yes,,Fragmented tools,Budget expires FY,Low TCO,Competitor C,Partner Y,
OPP-HIST-01858,NORAM,SMB,Company 2858 - Customer 360 View,Commit,Owner 134,Closed Lost,Q2 FY25,Cloud Cost Optimization,66195,,2025-02-16,2025-03-12,2025-04-04,2025-05-18,,2025-07-29,Company 2858,Parent Account 2,CIO,No,Yes,Yes,Fragmented tools,Renewal soon,,Competitor B,Partner Y,Security posture
OPP-HIST-01859,APAC,SMB,Company 2859 - Security & Compliance,Prove,Owner 9,Closed Won,Q2 FY25,DevOps & Automation,17268,Implementation plan,2025-02-26,,2025-04-05,2025-04-28,39,2025-06-12,Company 2859,Parent Account 124,,,No,No,,Exec mandate,Strong roadmap,Internal Build,Consulting Co,
OPP-HIST-01860,APAC,Strategic Accounts,Company 2860 - AI/ML Enablement,Explore,Owner 175,Closed Won,Q3 FY24,Customer 360 View,79702,Exec sponsor confirm,2024-05-02,,2024-06-04,,,2024-08-24,Company 2860,,Cloud Arch,No,Yes,,,,References match,Status Quo,Partner Y,Visibility
OPP-HIST-01861,APAC,Mid-Market,Company 2861 - Analytics & Reporting,Prove,Owner 5,Closed Lost,Q1 FY25,Security & Compliance,29127,POC run,2024-10-13,2024-10-25,2024-11-07,2024-12-19,,2025-02-07,Company 2861,Parent Account 48,Infra Lead,Yes,No,,Legacy expensive,,,Competitor C,None,
OPP-HIST-01862,NORAM,Mid-Market,Company 2862 - Customer 360 View,Prove,Owner 58,Closed Won,Q3 FY24,DevOps & Automation,23228,Deep dive,2024-04-23,,2024-05-26,2024-06-08,,2024-06-23,Company 2862,,,Yes,Yes,,Reg risk,Exec mandate,,Competitor B,Partner X,Visibility
OPP-HIST-01863,NORAM,Public Sector,Company 2863 - Data Platform Modernization,Commit,Owner 160,Closed Lost,Q3 FY25,Customer 360 View,20626,Procurement alignment,2025-05-28,2025-06-14,2025-06-19,2025-07-01,,2025-07-21,Company 2863,Parent Account 40,Head of Data,No,,Yes,,M&A drive,Best fit,Competitor B,None,
OPP-HIST-01864,APAC,Strategic Accounts,Company 2864 - DevOps & Automation,Commit,Owner 88,Closed Lost,Q2 FY24,AI/ML Enablement,130467,POC run,2024-01-29,2024-03-03,2024-03-20,,40,2024-06-19,Company 2864,,VP Eng,Yes,No,Yes,Reg risk,Exec mandate,Low TCO,Internal Build,Consulting Co,Reduce Ops
OPP-HIST-01865,EMEA,Public Sector,Company 2865 - Analytics & Reporting,Explore,Owner 178,Closed Lost,Q1 FY25,Customer 360 View,38542,Procurement alignment,2024-11-27,2024-12-12,2025-01-18,2025-02-25,,2025-03-24,Company 2865,,VP Eng,,No,Yes,,Exec mandate,Low TCO,Competitor C,Consulting Co,
OPP-HIST-01866,GP&A,Enterprise,Company 2866 - Customer 360 View,Explore,Owner 65,Closed Won,Q1 FY25,Data Platform Modernization,175187,POC run,2024-10-30,2024-11-19,,,,2025-03-27,Company 2866,Parent Account 167,Cloud Arch,No,Yes,No,,Exec mandate,Best fit,Competitor A,GSII,Reduce Ops
OPP-HIST-01867,LAC,Strategic Accounts,Company 2867 - Customer 360 View,Commit,Owner 110,Closed Won,Q1 FY25,Data Platform Modernization,41148,,2024-10-29,2024-12-03,,2024-12-21,,2025-02-05,Company 2867,Parent Account 72,CIO,Yes,Yes,Yes,Legacy expensive,M&A drive,Best fit,Status Quo,None,Visibility
OPP-HIST-01868,EMEA,Mid-Market,Company 2868 - Security & Compliance,Prove,Owner 128,Closed Lost,Q2 FY25,AI/ML Enablement,18121,Exec sponsor confirm,2025-03-24,2025-04-07,2025-05-19,2025-06-03,,2025-08-19,Company 2868,Parent Account 96,Infra Lead,Yes,Yes,Yes,,M&A drive,Strong roadmap,Competitor A,GSII,Reduce Ops
OPP-HIST-01869,EMEA,SMB,Company 2869 - Data Platform Modernization,Prove,Owner 35,Closed Won,Q2 FY25,Security & Compliance,27403,POC run,2025-02-01,,,2025-04-17,23,2025-05-31,Company 2869,,Director IT,No,,No,Does not scale,Renewal soon,,Competitor B,None,Faster release
OPP-HIST-01870,EMEA,Mid-Market,Company 2870 - Data Platform Modernization,Prove,Owner 134,Closed Won,Q1 FY24,Customer 360 View,142211,Proposal review,2023-11-05,2023-11-11,2023-11-22,2023-12-31,25,2024-02-13,Company 2870,Parent Account 189,Director IT,,Yes,,Legacy expensive,M&A drive,,Internal Build,GSII,
OPP-HIST-01871,EMEA,Strategic Accounts,Company 2871 - AI/ML Enablement,Commit,Owner 51,Closed Lost,Q2 FY25,DevOps & Automation,53684,Procurement alignment,2025-01-29,2025-02-09,,2025-03-20,,2025-04-17,Company 2871,Parent Account 129,Cloud Arch,No,Yes,No,,Budget expires FY,Low TCO,Status Quo,Partner X,Security posture
OPP-HIST-01872,GP&A,Mid-Market,Company 2872 - Data Platform Modernization,Commit,Owner 139,Closed Lost,Q1 FY25,Security & Compliance,40790,Procurement alignment,2024-10-01,2024-11-05,2024-11-24,2025-01-03,40,2025-03-27,Company 2872,Parent Account 151,CTO,No,,No,Legacy expensive,,Best fit,Status Quo,None,
