opportunity number,field / event,Old value,New Value,edit date
OPP-HIST-01626,Next Steps,Procurement alignment - follow up - follow up,Proposal review,2025-01-18
OPP-HIST-01626,Next Steps,Proposal review,Deep dive,2025-02-12
OPP-HIST-01626,Next Steps,Deep dive,Proposal review,2025-02-18
OPP-HIST-01627,Next Steps,Exec sponsor confirm,Procurement alignment,2025-06-11
OPP-HIST-01628,Next Steps,POC run,POC run (no change),2023-11-24
OPP-HIST-01628,Next Steps,POC run (no change),Deep dive,2023-12-18
OPP-HIST-01629,Next Steps,Proposal review,Deep dive,2024-02-06
OPP-HIST-01630,Next Steps,Deep dive,Deep dive - minor,2025-01-27
OPP-HIST-01630,Next Steps,Deep dive - minor,Deep dive - minor - pending,2025-02-12
OPP-HIST-01630,Next Steps,Deep dive - minor - pending,Deep dive - minor - pending - follow up,2025-03-14
OPP-HIST-01630,Next Steps,Deep dive - minor - pending - follow up,Procurement alignment,2025-04-10
OPP-HIST-01631,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2023-11-14
OPP-HIST-01631,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - pending,2023-12-19
OPP-HIST-01631,Next Steps,Exec sponsor confirm (no change) - pending,Exec sponsor confirm (no change) - pending - pending,2024-01-13
OPP-HIST-01633,Next Steps,Deep dive,Deep dive - follow up,2025-01-19
OPP-HIST-01633,Next Steps,Deep dive - follow up,Deep dive - follow up - minor,2025-02-14
OPP-HIST-01635,Next Steps,Exec sponsor confirm,Proposal review,2025-02-04
OPP-HIST-01635,Next Steps,Proposal review,Deep dive,2025-02-14
OPP-HIST-01635,Next Steps,Deep dive,POC run,2025-03-18
OPP-HIST-01635,Next Steps,POC run,Procurement alignment,2025-04-17
OPP-HIST-01636,Next Steps,,Procurement alignment,2025-01-17
OPP-HIST-01636,Next Steps,Procurement alignment,POC run,2025-02-06
OPP-HIST-01636,Next Steps,POC run,Implementation plan,2025-02-21
OPP-HIST-01636,Next Steps,Implementation plan,Implementation plan - minor,2025-03-08
OPP-HIST-01636,Next Steps,Implementation plan - minor,Implementation plan - minor - follow up,2025-03-31
OPP-HIST-01637,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-01-10
OPP-HIST-01637,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending (no change),2024-02-07
OPP-HIST-01637,Next Steps,Exec sponsor confirm - pending (no change),Proposal review,2024-03-04
OPP-HIST-01637,Next Steps,Proposal review,Proposal review (no change),2024-03-17
OPP-HIST-01637,Next Steps,Proposal review (no change),Proposal review (no change) - update,2024-04-03
OPP-HIST-01638,Next Steps,POC run,POC run - update,2025-06-07
OPP-HIST-01639,Next Steps,,Deep dive,2025-01-18
OPP-HIST-01639,Next Steps,Deep dive,Deep dive - minor,2025-01-31
OPP-HIST-01639,Next Steps,Deep dive - minor,Deep dive - minor (no change),2025-03-01
OPP-HIST-01639,Next Steps,Deep dive - minor (no change),Deep dive,2025-03-23
OPP-HIST-01639,Next Steps,Deep dive,Deep dive - pending,2025-04-29
OPP-HIST-01640,Next Steps,Deep dive,Deep dive - follow up,2024-02-13
OPP-HIST-01640,Next Steps,Deep dive - follow up,Deep dive - follow up (no change),2024-02-18
OPP-HIST-01640,Next Steps,Deep dive - follow up (no change),Deep dive - follow up (no change) - pending,2024-03-03
OPP-HIST-01640,Next Steps,Deep dive - follow up (no change) - pending,Deep dive - follow up (no change) - pending - follow up,2024-03-29
OPP-HIST-01640,Next Steps,Deep dive - follow up (no change) - pending - follow up,Deep dive - follow up (no change) - pending - follow up - follow up,2024-04-21
OPP-HIST-01644,Next Steps,Implementation plan,Procurement alignment,2025-03-07
OPP-HIST-01644,Next Steps,Procurement alignment,Proposal review,2025-03-16
OPP-HIST-01644,Next Steps,Proposal review,Procurement alignment,2025-04-10
OPP-HIST-01644,Next Steps,Procurement alignment,Procurement alignment - pending,2025-05-16
OPP-HIST-01644,Next Steps,Procurement alignment - pending,Procurement alignment - pending - follow up,2025-06-14
OPP-HIST-01645,Next Steps,Deep dive,Exec sponsor confirm,2024-03-28
OPP-HIST-01645,Next Steps,Exec sponsor confirm,POC run,2024-04-25
OPP-HIST-01646,Next Steps,Deep dive,POC run,2025-02-13
OPP-HIST-01646,Next Steps,POC run,POC run - follow up,2025-03-13
OPP-HIST-01646,Next Steps,POC run - follow up,POC run - follow up - follow up,2025-04-05
OPP-HIST-01647,Next Steps,,Deep dive,2025-06-15
OPP-HIST-01647,Next Steps,Deep dive,Implementation plan,2025-07-12
OPP-HIST-01647,Next Steps,Implementation plan,Implementation plan - update,2025-07-30
OPP-HIST-01648,Next Steps,POC run,POC run,2023-12-10
OPP-HIST-01648,Next Steps,POC run,POC run (no change),2024-01-08
OPP-HIST-01649,Next Steps,Implementation plan,Proposal review,2024-03-18
OPP-HIST-01649,Next Steps,Proposal review,Implementation plan,2024-04-12
OPP-HIST-01649,Next Steps,Implementation plan,Implementation plan (no change),2024-05-02
OPP-HIST-01650,Next Steps,Implementation plan,Implementation plan - pending,2023-11-22
OPP-HIST-01651,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2023-11-12
OPP-HIST-01651,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - minor,2023-12-15
OPP-HIST-01651,Next Steps,Exec sponsor confirm (no change) - minor,Exec sponsor confirm (no change) - minor - update,2023-12-29
OPP-HIST-01651,Next Steps,Exec sponsor confirm (no change) - minor - update,Exec sponsor confirm (no change) - minor - update (no change),2024-02-06
OPP-HIST-01652,Next Steps,Implementation plan,Implementation plan - minor,2025-04-03
OPP-HIST-01652,Next Steps,Implementation plan - minor,Implementation plan - minor - minor,2025-04-12
OPP-HIST-01652,Next Steps,Implementation plan - minor - minor,POC run,2025-05-20
OPP-HIST-01652,Next Steps,POC run,Deep dive,2025-06-11
OPP-HIST-01652,Next Steps,Deep dive,Deep dive - follow up,2025-06-18
OPP-HIST-01653,Next Steps,,Procurement alignment,2023-11-30
OPP-HIST-01654,Next Steps,Procurement alignment,Procurement alignment - pending,2025-03-15
OPP-HIST-01654,Next Steps,Procurement alignment - pending,Procurement alignment - pending (no change),2025-03-21
OPP-HIST-01657,Next Steps,,Deep dive,2025-01-14
OPP-HIST-01657,Next Steps,Deep dive,Deep dive (no change),2025-02-13
OPP-HIST-01657,Next Steps,Deep dive (no change),Deep dive (no change) - minor,2025-02-21
OPP-HIST-01657,Next Steps,Deep dive (no change) - minor,Deep dive (no change) - minor - follow up,2025-03-23
OPP-HIST-01657,Next Steps,Deep dive (no change) - minor - follow up,Deep dive (no change) - minor - follow up - pending,2025-03-31
OPP-HIST-01659,Next Steps,,Proposal review,2024-10-19
OPP-HIST-01659,Next Steps,Proposal review,Proposal review,2024-10-26
OPP-HIST-01659,Next Steps,Proposal review,Proposal review - update,2024-11-27
OPP-HIST-01659,Next Steps,Proposal review - update,Proposal review - update - update,2024-12-25
OPP-HIST-01659,Next Steps,Proposal review - update - update,Procurement alignment,2025-01-13
OPP-HIST-01660,Next Steps,,Proposal review,2024-05-16
OPP-HIST-01661,Next Steps,Proposal review,Proposal review - follow up,2024-12-08
OPP-HIST-01661,Next Steps,Proposal review - follow up,Proposal review - follow up - minor,2024-12-20
OPP-HIST-01661,Next Steps,Proposal review - follow up - minor,Exec sponsor confirm,2025-01-18
OPP-HIST-01662,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-12-16
OPP-HIST-01662,Next Steps,Exec sponsor confirm - minor,Exec sponsor confirm - minor (no change),2025-01-15
OPP-HIST-01663,Next Steps,Procurement alignment,Procurement alignment - update,2023-11-03
OPP-HIST-01663,Next Steps,Procurement alignment - update,Procurement alignment - update - pending,2023-12-03
OPP-HIST-01663,Next Steps,Procurement alignment - update - pending,Procurement alignment - update - pending - minor,2024-01-10
OPP-HIST-01663,Next Steps,Procurement alignment - update - pending - minor,Procurement alignment - update - pending - minor - follow up,2024-01-17
OPP-HIST-01663,Next Steps,Procurement alignment - update - pending - minor - follow up,Procurement alignment - update - pending - minor - follow up - follow up,2024-01-23
OPP-HIST-01664,Next Steps,Deep dive,Deep dive - update,2023-11-29
OPP-HIST-01664,Next Steps,Deep dive - update,Deep dive - update - follow up,2023-12-05
OPP-HIST-01664,Next Steps,Deep dive - update - follow up,POC run,2023-12-18
OPP-HIST-01665,Next Steps,POC run,Deep dive,2024-02-14
OPP-HIST-01665,Next Steps,Deep dive,POC run,2024-03-15
OPP-HIST-01666,Next Steps,Proposal review,Exec sponsor confirm,2025-01-03
OPP-HIST-01667,Next Steps,,Proposal review,2025-04-26
OPP-HIST-01667,Next Steps,Proposal review,Proposal review - follow up,2025-06-05
OPP-HIST-01668,Next Steps,Exec sponsor confirm,Proposal review,2025-03-27
OPP-HIST-01668,Next Steps,Proposal review,Proposal review - follow up,2025-04-27
OPP-HIST-01670,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-02-03
OPP-HIST-01670,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending (no change),2024-02-14
OPP-HIST-01670,Next Steps,Exec sponsor confirm - pending (no change),Exec sponsor confirm - pending (no change) - pending,2024-03-02
OPP-HIST-01670,Next Steps,Exec sponsor confirm - pending (no change) - pending,Procurement alignment,2024-03-30
OPP-HIST-01672,Next Steps,Procurement alignment,Deep dive,2023-12-28
OPP-HIST-01672,Next Steps,Deep dive,Deep dive - update,2024-01-19
OPP-HIST-01672,Next Steps,Deep dive - update,Deep dive - update - update,2024-02-08
OPP-HIST-01672,Next Steps,Deep dive - update - update,Proposal review,2024-03-19
OPP-HIST-01673,Next Steps,,Exec sponsor confirm,2024-04-19
OPP-HIST-01673,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-04-24
OPP-HIST-01676,Next Steps,POC run,POC run - pending,2025-01-14
OPP-HIST-01676,Next Steps,POC run - pending,Procurement alignment,2025-02-12
OPP-HIST-01676,Next Steps,Procurement alignment,Deep dive,2025-03-09
OPP-HIST-01676,Next Steps,Deep dive,Deep dive - follow up,2025-04-05
OPP-HIST-01677,Next Steps,Exec sponsor confirm,Procurement alignment,2024-03-09
OPP-HIST-01677,Next Steps,Procurement alignment,Procurement alignment (no change),2024-04-11
OPP-HIST-01678,Next Steps,Procurement alignment,Exec sponsor confirm,2024-02-16
OPP-HIST-01678,Next Steps,Exec sponsor confirm,Proposal review,2024-03-24
OPP-HIST-01678,Next Steps,Proposal review,Proposal review - minor,2024-05-02
OPP-HIST-01678,Next Steps,Proposal review - minor,Proposal review - minor (no change),2024-05-23
OPP-HIST-01678,Next Steps,Proposal review - minor (no change),POC run,2024-05-25
OPP-HIST-01679,Next Steps,,Deep dive,2025-01-04
OPP-HIST-01679,Next Steps,Deep dive,Deep dive - follow up,2025-01-29
OPP-HIST-01679,Next Steps,Deep dive - follow up,Deep dive - follow up - pending,2025-01-25
OPP-HIST-01683,Next Steps,Procurement alignment,Procurement alignment - update,2023-11-16
OPP-HIST-01683,Next Steps,Procurement alignment - update,POC run,2023-12-02
OPP-HIST-01683,Next Steps,POC run,POC run (no change),2023-12-30
OPP-HIST-01683,Next Steps,POC run (no change),Exec sponsor confirm,2024-01-31
OPP-HIST-01684,Next Steps,Proposal review,Proposal review - update,2025-05-20
OPP-HIST-01684,Next Steps,Proposal review - update,Procurement alignment,2025-06-11
OPP-HIST-01684,Next Steps,Procurement alignment,Procurement alignment - update,2025-06-30
OPP-HIST-01684,Next Steps,Procurement alignment - update,Proposal review,2025-07-29
OPP-HIST-01685,Next Steps,Implementation plan,Deep dive,2025-01-28
OPP-HIST-01685,Next Steps,Deep dive,Exec sponsor confirm,2025-02-27
OPP-HIST-01685,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-03-30
OPP-HIST-01686,Next Steps,Deep dive,Deep dive (no change),2023-12-04
OPP-HIST-01686,Next Steps,Deep dive (no change),Procurement alignment,2023-12-14
OPP-HIST-01686,Next Steps,Procurement alignment,Exec sponsor confirm,2024-01-16
OPP-HIST-01688,Next Steps,POC run,Deep dive,2024-04-22
OPP-HIST-01688,Next Steps,Deep dive,Deep dive - update,2024-05-10
OPP-HIST-01688,Next Steps,Deep dive - update,Deep dive - update - update,2024-06-14
OPP-HIST-01688,Next Steps,Deep dive - update - update,Deep dive - update - update - follow up,2024-07-12
OPP-HIST-01690,Next Steps,,Exec sponsor confirm,2024-02-27
OPP-HIST-01690,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-03-17
OPP-HIST-01690,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - pending,2024-04-20
OPP-HIST-01690,Next Steps,Exec sponsor confirm - pending - pending,POC run,2024-04-28
OPP-HIST-01690,Next Steps,POC run,POC run - update,2024-04-30
OPP-HIST-01692,Next Steps,Proposal review,Proposal review,2024-03-01
OPP-HIST-01693,Next Steps,POC run,POC run - pending,2025-01-24
OPP-HIST-01694,Next Steps,Deep dive,Deep dive (no change),2024-05-10
OPP-HIST-01694,Next Steps,Deep dive (no change),Deep dive (no change) - minor,2024-06-03
OPP-HIST-01694,Next Steps,Deep dive (no change) - minor,POC run,2024-07-03
OPP-HIST-01694,Next Steps,POC run,POC run - update,2024-07-20
OPP-HIST-01695,Next Steps,POC run,POC run - update,2024-04-23
OPP-HIST-01695,Next Steps,POC run - update,POC run - update - minor,2024-05-10
OPP-HIST-01696,Next Steps,POC run,POC run - pending,2025-01-30
OPP-HIST-01697,Next Steps,Proposal review,Proposal review - minor,2025-01-25
OPP-HIST-01698,Next Steps,Implementation plan,Implementation plan - minor,2024-06-16
OPP-HIST-01698,Next Steps,Implementation plan - minor,Implementation plan - minor - minor,2024-06-25
OPP-HIST-01698,Next Steps,Implementation plan - minor - minor,Procurement alignment,2024-07-10
OPP-HIST-01699,Next Steps,Deep dive,Deep dive (no change),2024-03-07
OPP-HIST-01699,Next Steps,Deep dive (no change),Deep dive (no change) - minor,2024-04-12
OPP-HIST-01699,Next Steps,Deep dive (no change) - minor,Deep dive (no change) - minor - update,2024-04-17
OPP-HIST-01699,Next Steps,Deep dive (no change) - minor - update,Deep dive (no change) - minor - update - minor,2024-05-16
OPP-HIST-01703,Next Steps,Implementation plan,Implementation plan - update,2024-11-17
OPP-HIST-01703,Next Steps,Implementation plan - update,Implementation plan - update - pending,2024-11-21
OPP-HIST-01703,Next Steps,Implementation plan - update - pending,Implementation plan,2024-12-30
OPP-HIST-01703,Next Steps,Implementation plan,Implementation plan - update,2025-01-24
OPP-HIST-01704,Next Steps,Procurement alignment,Exec sponsor confirm,2024-12-02
OPP-HIST-01704,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-01-02
OPP-HIST-01704,Next Steps,Exec sponsor confirm - update,Procurement alignment,2025-01-20
OPP-HIST-01704,Next Steps,Procurement alignment,Exec sponsor confirm,2025-01-23
OPP-HIST-01704,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-01-21
OPP-HIST-01705,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2023-12-07
OPP-HIST-01705,Next Steps,Exec sponsor confirm - minor,Implementation plan,2023-12-25
OPP-HIST-01705,Next Steps,Implementation plan,Implementation plan - pending,2024-01-26
OPP-HIST-01705,Next Steps,Implementation plan - pending,Implementation plan - pending - update,2024-01-27
OPP-HIST-01706,Next Steps,Implementation plan,Implementation plan - update,2023-12-13
OPP-HIST-01706,Next Steps,Implementation plan - update,Implementation plan - update - update,2024-01-03
OPP-HIST-01706,Next Steps,Implementation plan - update - update,Implementation plan - update - update (no change),2024-01-08
OPP-HIST-01706,Next Steps,Implementation plan - update - update (no change),Implementation plan - update - update (no change) - follow up,2024-01-12
OPP-HIST-01706,Next Steps,Implementation plan - update - update (no change) - follow up,Implementation plan,2024-02-19
OPP-HIST-01707,Next Steps,,POC run,2024-06-24
OPP-HIST-01708,Next Steps,Proposal review,Exec sponsor confirm,2025-02-05
OPP-HIST-01709,Next Steps,Deep dive,Procurement alignment,2024-01-11
OPP-HIST-01709,Next Steps,Procurement alignment,Procurement alignment - follow up,2024-02-16
OPP-HIST-01709,Next Steps,Procurement alignment - follow up,Exec sponsor confirm,2024-03-27
OPP-HIST-01710,Next Steps,Exec sponsor confirm,Proposal review,2024-12-05
OPP-HIST-01710,Next Steps,Proposal review,Proposal review - minor,2024-12-25
OPP-HIST-01710,Next Steps,Proposal review - minor,Proposal review - minor - pending,2025-01-21
OPP-HIST-01711,Next Steps,,Proposal review,2025-05-29
OPP-HIST-01712,Next Steps,Procurement alignment,Procurement alignment - update,2025-05-07
OPP-HIST-01712,Next Steps,Procurement alignment - update,Deep dive,2025-06-08
OPP-HIST-01712,Next Steps,Deep dive,POC run,2025-06-12
OPP-HIST-01713,Next Steps,Procurement alignment,POC run,2024-04-14
OPP-HIST-01714,Next Steps,,Deep dive,2025-06-29
OPP-HIST-01714,Next Steps,Deep dive,Proposal review,2025-07-29
OPP-HIST-01714,Next Steps,Proposal review,Exec sponsor confirm,2025-08-08
OPP-HIST-01714,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-09-05
OPP-HIST-01714,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up (no change),2025-09-22
OPP-HIST-01716,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2024-10-20
OPP-HIST-01716,Next Steps,Exec sponsor confirm,Proposal review,2024-11-24
OPP-HIST-01717,Next Steps,Deep dive,Proposal review,2025-05-02
OPP-HIST-01717,Next Steps,Proposal review,Implementation plan,2025-05-19
OPP-HIST-01721,Next Steps,,Procurement alignment,2025-01-07
OPP-HIST-01722,Next Steps,Implementation plan,Deep dive,2025-05-20
OPP-HIST-01723,Next Steps,,Implementation plan,2024-04-18
OPP-HIST-01723,Next Steps,Implementation plan,Exec sponsor confirm,2024-05-01
OPP-HIST-01723,Next Steps,Exec sponsor confirm,POC run,2024-05-14
OPP-HIST-01723,Next Steps,POC run,POC run - update,2024-06-23
OPP-HIST-01725,Next Steps,,Deep dive,2025-01-19
OPP-HIST-01725,Next Steps,Deep dive,Deep dive,2025-01-23
OPP-HIST-01725,Next Steps,Deep dive,POC run,2025-02-05
OPP-HIST-01725,Next Steps,POC run,POC run - follow up,2025-02-21
OPP-HIST-01725,Next Steps,POC run - follow up,Procurement alignment,2025-03-14
OPP-HIST-01726,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2024-03-15
OPP-HIST-01726,Next Steps,Exec sponsor confirm,POC run,2024-03-27
OPP-HIST-01726,Next Steps,POC run,POC run,2024-04-25
OPP-HIST-01726,Next Steps,POC run,Procurement alignment,2024-05-28
OPP-HIST-01727,Next Steps,Procurement alignment,Procurement alignment (no change),2024-01-08
OPP-HIST-01728,Next Steps,Deep dive,Deep dive - follow up,2023-10-29
OPP-HIST-01729,Next Steps,Exec sponsor confirm,Procurement alignment,2024-06-02
OPP-HIST-01729,Next Steps,Procurement alignment,Procurement alignment - pending,2024-06-26
OPP-HIST-01729,Next Steps,Procurement alignment - pending,Procurement alignment - pending - update,2024-07-01
OPP-HIST-01729,Next Steps,Procurement alignment - pending - update,Implementation plan,2024-07-23
OPP-HIST-01730,Next Steps,Proposal review,Proposal review,2024-02-08
OPP-HIST-01730,Next Steps,Proposal review,Exec sponsor confirm,2024-03-17
OPP-HIST-01730,Next Steps,Exec sponsor confirm,Procurement alignment,2024-04-17
OPP-HIST-01731,Next Steps,Procurement alignment,Exec sponsor confirm,2025-06-05
OPP-HIST-01731,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-06-17
OPP-HIST-01731,Next Steps,Exec sponsor confirm - update,Exec sponsor confirm - update - minor,2025-07-14
OPP-HIST-01731,Next Steps,Exec sponsor confirm - update - minor,Deep dive,2025-08-14
OPP-HIST-01732,Next Steps,Deep dive,Deep dive,2025-04-20
OPP-HIST-01732,Next Steps,Deep dive,Deep dive - minor,2025-04-28
OPP-HIST-01732,Next Steps,Deep dive - minor,POC run,2025-05-14
OPP-HIST-01732,Next Steps,POC run,Exec sponsor confirm,2025-05-21
OPP-HIST-01733,Next Steps,Proposal review,Proposal review - pending,2023-10-10
OPP-HIST-01733,Next Steps,Proposal review - pending,Implementation plan,2023-10-15
OPP-HIST-01733,Next Steps,Implementation plan,Implementation plan - update,2023-11-04
OPP-HIST-01733,Next Steps,Implementation plan - update,POC run,2023-12-09
OPP-HIST-01734,Next Steps,,Proposal review,2024-11-07
OPP-HIST-01735,Next Steps,Proposal review,Proposal review - update,2024-11-24
OPP-HIST-01735,Next Steps,Proposal review - update,Deep dive,2024-11-28
OPP-HIST-01735,Next Steps,Deep dive,Deep dive,2024-12-03
OPP-HIST-01735,Next Steps,Deep dive,Deep dive (no change),2025-01-09
OPP-HIST-01736,Next Steps,Proposal review,Proposal review - minor,2025-06-02
OPP-HIST-01736,Next Steps,Proposal review - minor,Exec sponsor confirm,2025-06-29
OPP-HIST-01737,Next Steps,,POC run,2024-11-18
OPP-HIST-01737,Next Steps,POC run,POC run - follow up,2024-12-03
OPP-HIST-01737,Next Steps,POC run - follow up,Procurement alignment,2024-12-17
OPP-HIST-01737,Next Steps,Procurement alignment,Procurement alignment - pending,2025-01-22
OPP-HIST-01738,Next Steps,Implementation plan,Deep dive,2025-01-20
OPP-HIST-01739,Next Steps,Procurement alignment,Proposal review,2025-03-22
OPP-HIST-01739,Next Steps,Proposal review,Implementation plan,2025-04-29
OPP-HIST-01741,Next Steps,Proposal review,Exec sponsor confirm,2024-01-04
OPP-HIST-01741,Next Steps,Exec sponsor confirm,Proposal review,2024-01-25
OPP-HIST-01744,Next Steps,POC run,Implementation plan,2025-01-21
OPP-HIST-01744,Next Steps,Implementation plan,Procurement alignment,2025-02-12
OPP-HIST-01744,Next Steps,Procurement alignment,POC run,2025-03-01
OPP-HIST-01744,Next Steps,POC run,Procurement alignment,2025-03-28
OPP-HIST-01744,Next Steps,Procurement alignment,Procurement alignment (no change),2025-04-22
OPP-HIST-01745,Next Steps,,Proposal review,2025-07-09
OPP-HIST-01745,Next Steps,Proposal review,Proposal review (no change),2025-07-30
OPP-HIST-01745,Next Steps,Proposal review (no change),Exec sponsor confirm,2025-08-03
OPP-HIST-01745,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-09-12
OPP-HIST-01745,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - update,2025-09-15
OPP-HIST-01746,Next Steps,,Deep dive,2025-03-31
OPP-HIST-01747,Next Steps,Exec sponsor confirm,Procurement alignment,2025-01-18
OPP-HIST-01747,Next Steps,Procurement alignment,Procurement alignment - follow up,2025-01-26
OPP-HIST-01747,Next Steps,Procurement alignment - follow up,Procurement alignment - follow up - minor,2025-03-03
OPP-HIST-01747,Next Steps,Procurement alignment - follow up - minor,Procurement alignment - follow up - minor - update,2025-04-10
OPP-HIST-01748,Next Steps,Implementation plan,Deep dive,2024-01-04
OPP-HIST-01749,Next Steps,Deep dive,Deep dive (no change),2024-11-03
OPP-HIST-01749,Next Steps,Deep dive (no change),Deep dive (no change) - follow up,2024-11-08
OPP-HIST-01750,Next Steps,,Exec sponsor confirm,2024-01-11
OPP-HIST-01750,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2024-02-09
OPP-HIST-01750,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - follow up,2024-02-20
OPP-HIST-01751,Next Steps,Implementation plan,Implementation plan - update,2024-01-28
OPP-HIST-01752,Next Steps,POC run,Deep dive,2024-05-19
OPP-HIST-01752,Next Steps,Deep dive,Deep dive - minor,2024-05-30
OPP-HIST-01752,Next Steps,Deep dive - minor,POC run,2024-06-11
OPP-HIST-01752,Next Steps,POC run,POC run - update,2024-06-20
OPP-HIST-01754,Next Steps,Proposal review,Proposal review - pending,2024-07-09
OPP-HIST-01754,Next Steps,Proposal review - pending,Implementation plan,2024-07-22
OPP-HIST-01754,Next Steps,Implementation plan,Implementation plan - pending,2024-08-29
OPP-HIST-01754,Next Steps,Implementation plan - pending,Implementation plan - pending (no change),2024-09-03
OPP-HIST-01755,Next Steps,Implementation plan,Implementation plan - pending,2024-01-14
OPP-HIST-01755,Next Steps,Implementation plan - pending,Implementation plan - pending - follow up,2024-01-29
OPP-HIST-01755,Next Steps,Implementation plan - pending - follow up,Implementation plan - pending - follow up - follow up,2024-02-25
OPP-HIST-01755,Next Steps,Implementation plan - pending - follow up - follow up,POC run,2024-03-16
OPP-HIST-01757,Next Steps,Procurement alignment,Exec sponsor confirm,2025-05-31
OPP-HIST-01757,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-06-22
OPP-HIST-01757,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - follow up,2025-07-07
OPP-HIST-01757,Next Steps,Exec sponsor confirm - follow up - follow up,Exec sponsor confirm - follow up - follow up - minor,2025-08-05
OPP-HIST-01757,Next Steps,Exec sponsor confirm - follow up - follow up - minor,Exec sponsor confirm - follow up - follow up - minor - minor,2025-08-18
OPP-HIST-01758,Next Steps,Implementation plan,Implementation plan - update,2025-03-11
OPP-HIST-01758,Next Steps,Implementation plan - update,Proposal review,2025-04-06
OPP-HIST-01758,Next Steps,Proposal review,Proposal review - update,2025-05-03
OPP-HIST-01758,Next Steps,Proposal review - update,Proposal review - update (no change),2025-05-31
OPP-HIST-01761,Next Steps,Implementation plan,Implementation plan - minor,2024-11-27
OPP-HIST-01761,Next Steps,Implementation plan - minor,Implementation plan,2024-12-31
OPP-HIST-01762,Next Steps,POC run,POC run - minor,2024-06-03
OPP-HIST-01762,Next Steps,POC run - minor,POC run - minor - pending,2024-07-08
OPP-HIST-01762,Next Steps,POC run - minor - pending,POC run,2024-07-21
OPP-HIST-01762,Next Steps,POC run,POC run - update,2024-07-18
OPP-HIST-01763,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-01-06
OPP-HIST-01763,Next Steps,Exec sponsor confirm - update,Exec sponsor confirm - update - pending,2025-01-29
OPP-HIST-01765,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2023-11-07
OPP-HIST-01765,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - minor,2023-11-28
OPP-HIST-01765,Next Steps,Exec sponsor confirm - pending - minor,Proposal review,2024-01-07
OPP-HIST-01765,Next Steps,Proposal review,Procurement alignment,2024-01-11
OPP-HIST-01767,Next Steps,Implementation plan,Proposal review,2023-10-21
OPP-HIST-01767,Next Steps,Proposal review,Deep dive,2023-11-25
OPP-HIST-01767,Next Steps,Deep dive,Procurement alignment,2024-01-03
OPP-HIST-01767,Next Steps,Procurement alignment,Implementation plan,2024-01-27
OPP-HIST-01767,Next Steps,Implementation plan,Implementation plan - minor,2024-01-24
OPP-HIST-01769,Next Steps,Implementation plan,Implementation plan - pending,2025-02-15
OPP-HIST-01769,Next Steps,Implementation plan - pending,Implementation plan - pending - follow up,2025-03-13
OPP-HIST-01769,Next Steps,Implementation plan - pending - follow up,Implementation plan - pending - follow up (no change),2025-04-13
OPP-HIST-01770,Next Steps,Proposal review,Proposal review - minor,2024-03-14
OPP-HIST-01770,Next Steps,Proposal review - minor,Proposal review - minor - minor,2024-03-21
OPP-HIST-01770,Next Steps,Proposal review - minor - minor,Proposal review - minor - minor (no change),2024-04-12
OPP-HIST-01770,Next Steps,Proposal review - minor - minor (no change),Exec sponsor confirm,2024-04-17
OPP-HIST-01772,Next Steps,POC run,POC run - update,2025-03-11
OPP-HIST-01772,Next Steps,POC run - update,POC run - update - minor,2025-04-11
OPP-HIST-01772,Next Steps,POC run - update - minor,POC run - update - minor - update,2025-04-22
OPP-HIST-01773,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-01-06
OPP-HIST-01775,Next Steps,Implementation plan,Implementation plan (no change),2024-03-17
